"Año","Región","Diferencia_Hombres_Mujeres"
2016,"Región del Libertador Gral. Bernardo O'Higgins",25.4343979622388
2016,"Región del Maule",25.5435593507248
2016,"Total país",22.4087984262669
2017,"Región Metropolitana de Santiago",19.4146150970125
2017,"Región de Antofagasta",23.1164241399143
2017,"Región de Arica y Parinacota",22.5236012827284
2017,"Región de Atacama",24.2714545354518
2017,"Región de Aysén del Gral. Carlos Ibáñez del Campo",16.3179595197964
2017,"Región de Coquimbo",22.1942937053799
2017,"Región de La Araucanía",22.0229517350465
2017,"Región de Los Lagos",26.4532572679564
2017,"Región de Los Ríos",25.4681967341274
2017,"Región de Magallanes y La Antártica Chilena",20.7581950441676
2017,"Región de Tarapacá",19.6287416418893
2017,"Región de Valparaíso",21.1264656171124
2017,"Región de Ñuble",24.7721595021665
2017,"Región del Biobío",22.2003008992644
2017,"Región del Libertador Gral. Bernardo O'Higgins",24.504685261406
2017,"Región del Maule",25.5582347220577
2017,"Total país",21.5948601374493
2018,"Región Metropolitana de Santiago",19.1039578216465
2018,"Región de Antofagasta",23.5460260540555
2018,"Región de Arica y Parinacota",20.2738958180708
2018,"Región de Atacama",22.1215501829186
2018,"Región de Aysén del Gral. Carlos Ibáñez del Campo",14.2134770208859
2018,"Región de Coquimbo",21.8198592840674
2018,"Región de La Araucanía",22.5393069843414
2018,"Región de Los Lagos",25.8934061078097
2018,"Región de Los Ríos",23.97406604826
2018,"Región de Magallanes y La Antártica Chilena",17.2320359033798
2018,"Región de Tarapacá",19.0009032064007
2018,"Región de Valparaíso",21.7409523407501
2018,"Región de Ñuble",26.7792351380704
2018,"Región del Biobío",20.4684046021477
2018,"Región del Libertador Gral. Bernardo O'Higgins",23.3969971312233
2018,"Región del Maule",24.6865717866611
2018,"Total país",21.1649062576067
2019,"Región Metropolitana de Santiago",18.0663167224787
2019,"Región de Antofagasta",22.8234740440578
2019,"Región de Arica y Parinacota",19.0140332490953
2019,"Región de Atacama",20.4876680121937
2019,"Región de Aysén del Gral. Carlos Ibáñez del Campo",15.2124881721696
2019,"Región de Coquimbo",21.4179047049427
2019,"Región de La Araucanía",22.3404912003654
2019,"Región de Los Lagos",23.724041450874
2019,"Región de Los Ríos",22.8829155564931
2019,"Región de Magallanes y La Antártica Chilena",21.7406648416415
2019,"Región de Tarapacá",19.9426664983162
2019,"Región de Valparaíso",21.278390745719
2019,"Región de Ñuble",23.7527358653869
2019,"Región del Biobío",19.8437933323118
2019,"Región del Libertador Gral. Bernardo O'Higgins",23.2708536211641
